"AlamanceCounty",11675,124
"AlexanderCounty",2926,31
"AlleghanyCounty",733,3
"AnsonCounty",1620,35
"AsheCounty",1450,27
"AveryCounty",1510,16
"BeaufortCounty",3136,61
"BertieCounty",1332,27
"BladenCounty",2113,26
"BrunswickCounty",5110,78
"BuncombeCounty",10642,186
"BurkeCounty",6864,86
"CabarrusCounty",12843,163
"CaldwellCounty",6681,31
"CamdenCounty",354,5
"CarteretCounty",3079,17
"CaswellCounty",1336,10
"CatawbaCounty",12524,187
"ChathamCounty",3109,67
"CherokeeCounty",1501,16
"ChowanCounty",936,20
"ClayCounty",483,5
"ClevelandCounty",7744,156
"ColumbusCounty",4201,90
"CravenCounty",5850,88
"CumberlandCounty",15821,143
"CurrituckCounty",785,11
"DareCounty",1264,5
"DavidsonCounty",10187,88
"DavieCounty",2431,14
"DuplinCounty",4603,80
"DurhamCounty",16366,145
"EdgecombeCounty",3501,82
"ForsythCounty",22957,235
"FranklinCounty",3668,39
"GastonCounty",17705,260
"GatesCounty",413,12
"GrahamCounty",467,11
"GranvilleCounty",4102,66
"GreeneCounty",1659,34
"GuilfordCounty",28076,337
"HalifaxCounty",3341,54
"HarnettCounty",6664,102
"HaywoodCounty",2623,72
"HendersonCounty",6162,91
"HertfordCounty",1517,52
"HokeCounty",3053,36
"HydeCounty",453,6
"IredellCounty",10792,104
"JacksonCounty",2555,18
"JohnstonCounty",12950,121
"JonesCounty",457,16
"LeeCounty",3986,44
"LenoirCounty",3760,80
"LincolnCounty",6228,39
"MaconCounty",1757,12
"MadisonCounty",949,20
"MartinCounty",1604,26
"McDowellCounty",3574,39
"MecklenburgCounty",70128,615
"MitchellCounty",941,10
"MontgomeryCounty",2230,48
"MooreCounty",5623,80
"NashCounty",6675,124
"NewHanoverCounty",10612,96
"NorthamptonCounty",1196,27
"OnslowCounty",10274,82
"OrangeCounty",5614,68
"PamlicoCounty",602,5
"PasquotankCounty",2107,59
"PenderCounty",3209,22
"PerquimansCounty",622,5
"PersonCounty",1934,26
"PittCounty",12955,69
"PolkCounty",897,14
"RandolphCounty",9194,144
"RichmondCounty",3006,52
"RobesonCounty",11025,142
"RockinghamCounty",5088,31
"RowanCounty",10486,189
"RutherfordCounty",5023,114
"SampsonCounty",5345,68
"ScotlandCounty",2768,57
"StanlyCounty",4937,92
"StokesCounty",2395,40
"SurryCounty",5117,92
"SwainCounty",823,8
"TransylvaniaCounty",1121,11
"TyrrellCounty",197,4
"UnionCounty",14564,116
"VanceCounty",3027,69
"WakeCounty",50627,362
"WarrenCounty",1190,11
"WashingtonCounty",561,16
"WataugaCounty",2944,20
"WayneCounty",8022,154
"WilkesCounty",4453,79
"WilsonCounty",6217,118
"YadkinCounty",2774,28
"YanceyCounty",1131,9
